selected_row,pooled_source_row,trial_id,plane_index,cluster_index,correlation
550,110399,04162024_6f_a1_r1,1,399,0.073370021509830977
553,172535,04192024_6f_a1_r2,5,535,0.11340219224479708
554,64290,04032024_6f_a2_r5,5,290,0.11927462220956118
555,178055,04192024_6f_a1_r2,8,55,0.094531412980033466
557,284142,04192024_6f_a1_r9,7,142,0.10644289224138563
561,114950,04162024_6f_a1_r1,3,950,0.07966703317194436
562,69214,04032024_6f_a2_r5,7,1214,0.10063794244629329
563,226326,04192024_6f_a1_r6,5,326,0.12427848078640658
564,56014,04032024_6f_a2_r5,1,14,0.10907651425004146
566,110146,04162024_6f_a1_r1,1,146,0.067813472675100059
567,180590,04192024_6f_a1_r2,9,590,0.09828250291644422
568,80020,04032024_6f_a2_r5,13,20,0.092794674621435966
569,58167,04032024_6f_a2_r5,2,167,0.10497193002655034
571,175633,04192024_6f_a1_r2,6,1633,0.080826376150050699
572,287836,04192024_6f_a1_r9,8,1836,0.067276548122772659
573,122698,04162024_6f_a1_r1,7,698,0.095102052128368836
575,164849,04192024_6f_a1_r2,1,849,0.11539085691626204
576,62265,04032024_6f_a2_r5,4,265,0.12692851640461961
577,278355,04192024_6f_a1_r9,4,355,0.06633147177939272
578,230825,04192024_6f_a1_r6,7,825,0.115568741847839
580,209852,04192024_6f_a1_r2,23,1852,0.10129986265924268
581,62937,04032024_6f_a2_r5,4,937,0.10640902274745299
582,224888,04192024_6f_a1_r6,4,888,0.14114854387494552
583,228602,04192024_6f_a1_r6,6,602,0.10464725706311985
584,284128,04192024_6f_a1_r9,7,128,0.096174880953767888
585,86142,04032024_6f_a2_r5,16,142,0.11975495416742482
587,86337,04032024_6f_a2_r5,16,337,0.10941665835482149
588,181730,04192024_6f_a1_r2,9,1730,0.10742923568283644
589,225726,04192024_6f_a1_r6,4,1726,0.12109088215428532
590,110489,04162024_6f_a1_r1,1,489,0.11762742854660095
591,118060,04162024_6f_a1_r1,5,60,0.070828685299408251
592,58177,04032024_6f_a2_r5,2,177,0.14080636289653831
593,231560,04192024_6f_a1_r6,7,1560,0.13615056180332794
594,286118,04192024_6f_a1_r9,8,118,0.090252352383871456
597,69454,04032024_6f_a2_r5,7,1454,0.11655961343627609
598,276393,04192024_6f_a1_r9,3,393,0.10075757357125019
599,174724,04192024_6f_a1_r2,6,724,0.12265130183767541
600,286924,04192024_6f_a1_r9,8,924,0.11202790980038324
601,166121,04192024_6f_a1_r2,2,121,0.12363842832009461
602,280210,04192024_6f_a1_r9,5,210,0.076223981661419096
