label,count,+1,0,-1,entropy,purity
AVLP197_R,3,3,0,0,-0.000000,1.000000
AVLP198_R,3,3,0,0,-0.000000,1.000000
AVLP199_R,3,3,0,0,-0.000000,1.000000
AVLP200_R,1,1,0,0,-0.000000,1.000000
AVLP201_R,1,1,0,0,-0.000000,1.000000
AVLP202_R,1,1,0,0,-0.000000,1.000000
AVLP203_R,3,3,0,0,-0.000000,1.000000
AVLP204_R,3,3,0,0,-0.000000,1.000000
AVLP205_R,2,2,0,0,-0.000000,1.000000
AVLP206_a_R,3,3,0,0,-0.000000,1.000000
AVLP206_b_R,2,2,0,0,-0.000000,1.000000
AVLP207_R,3,3,0,0,-0.000000,1.000000
AVLP208_R,4,4,0,0,-0.000000,1.000000
AVLP209_R,1,1,0,0,-0.000000,1.000000
AVLP210_R,1,1,0,0,-0.000000,1.000000
